A,B,C,D
86,76,9,y
23,8,30,x
10,37,56,y
14,49,11,y
11,52,71,x
88,48,35,z
37,51,50,y
2,18,99,y
19,1,71,y
35,58,50,z
79,79,83,x
39,19,80,z
8,13,29,x
37,94,67,y
63,47,19,y
15,91,87,x
31,76,30,z
71,58,30,z
52,71,11,x
2,98,61,z
41,6,43,z
35,19,27,z
2,49,61,z
66,84,70,x
71,97,50,y
35,60,23,x
65,32,97,y
87,9,80,x
84,14,81,x
56,18,55,x
91,99,21,x
7,84,53,y
34,76,90,z
71,25,32,y
33,12,71,x
17,74,65,y
48,92,26,x
45,42,91,z
66,66,87,x
53,3,21,x
90,91,20,z
14,45,98,y
76,70,65,x
76,76,79,y
81,19,62,y
55,61,29,z
63,25,83,y
96,74,7,y
39,53,24,z
52,50,97,z
38,16,63,y
15,33,55,x
69,30,85,y
86,50,5,x
28,14,6,z
19,53,46,x
88,66,28,z
62,9,72,y
97,71,80,y
24,46,57,y
34,29,64,z
52,5,49,z
34,20,28,y
27,17,36,x
35,56,46,y
92,52,10,y
45,96,10,x
67,21,5,x
37,30,95,x
35,59,45,y
22,99,38,y
5,4,66,z
9,73,91,y
33,91,6,z
84,97,50,x
81,88,6,z
78,88,68,x
38,1,42,z
31,69,86,y
98,99,21,y
25,82,39,x
97,16,36,z
9,10,16,y
34,76,73,y
46,5,15,y
3,43,19,x
30,9,35,y
87,7,64,x
4,19,14,y
78,81,56,y
7,43,85,y
14,59,71,x
84,73,78,x
76,42,98,x
47,10,62,z
46,47,68,x
76,56,47,y
48,93,31,y
49,47,23,x
11,17,76,x
52,5,91,x
91,21,28,x
58,69,35,z
58,27,78,x
69,58,10,z
68,67,54,z
8,52,37,y
43,20,15,x
11,61,17,z
74,30,10,y
11,73,67,y
97,12,3,x
93,85,84,x
15,73,92,x
92,49,99,x
38,95,85,y
52,78,46,y
29,31,76,x
13,82,46,z
92,21,66,x
51,29,94,x
64,41,31,y
73,11,33,x
52,50,57,z
78,10,72,x
73,91,5,y
22,1,83,y
66,84,65,x
33,81,1,y
6,2,95,x
54,61,16,z
53,71,45,x
77,57,86,x
44,13,53,z
74,1,56,x
42,19,31,y
3,97,85,y
3,49,6,z
39,31,47,y
88,34,86,z
57,37,85,z
71,88,95,x
8,87,53,z
11,58,55,y
87,66,55,x
99,21,99,z
12,15,18,y
81,1,72,y
62,25,7,x
48,26,48,y
25,58,89,y
86,69,23,z
93,53,22,z
42,44,88,x
18,64,67,y
18,40,39,y
2,70,19,z
56,47,68,z
19,89,57,y
84,83,61,z
25,38,17,y
24,66,95,x
81,91,46,y
77,39,38,x
73,80,75,x
53,92,95,z
50,29,80,y
75,49,33,z
5,60,85,z
26,91,82,z
43,52,67,x
81,38,82,x
47,85,46,y
86,34,29,x
87,91,5,x
80,57,58,y
91,30,27,z
26,49,3,z
56,20,37,x
93,20,25,z
1,81,86,x
57,6,13,y
3,69,22,x
17,95,2,z
2,88,99,x
24,19,31,x
52,14,14,z
49,97,25,z
95,50,25,y
28,17,15,z
2,94,99,x
78,87,8,y
75,61,51,y
26,61,55,z
45,17,80,z
5,77,88,y
78,3,29,z
11,47,21,z
71,91,3,y
56,57,46,y
2,48,21,x
15,44,46,x
98,32,74,x
51,64,88,y
86,94,74,y
61,93,52,x
81,61,11,y
63,73,12,z
14,62,30,y
35,3,15,y
87,77,70,x
88,92,18,x
75,67,85,z
76,64,77,x
12,65,93,z
49,4,61,y
86,40,25,z
79,34,21,x
51,72,77,z
57,73,79,z
23,56,6,x
53,80,22,y
97,74,39,y
76,78,32,z
62,13,84,y
32,1,25,x
20,7,73,z
64,54,32,x
6,28,66,x
95,66,40,x
30,79,81,y
94,96,50,x
23,80,65,y
70,99,95,z
87,54,15,y
72,42,68,y
24,69,39,x
4,25,6,z
30,2,64,y
28,4,91,x
51,60,26,x
18,39,36,x
68,86,40,y
58,76,80,z
26,34,12,y
56,15,37,x
48,43,8,z
72,11,72,x
2,78,41,z
87,61,36,x
2,55,69,y
12,76,64,y
87,41,84,z
98,26,14,y
27,3,47,z
10,18,23,z
32,98,73,x
55,60,77,x
99,31,85,y
13,35,50,x
58,18,9,y
5,45,7,y
94,93,50,y
75,57,51,y
64,86,33,x
97,35,6,x
55,13,16,x
22,23,99,y
55,68,41,y
16,99,88,z
11,74,39,z
20,68,81,z
58,39,39,x
98,91,44,y
31,13,52,y
71,28,82,z
95,58,9,x
60,86,58,z
4,83,16,y
83,25,20,x
34,30,18,x
75,51,4,y
74,17,73,y
89,18,75,x
28,15,61,y
71,4,45,z
4,44,61,z
57,17,19,y
41,35,98,x
42,84,65,y
66,84,30,z
69,72,42,y
84,90,48,z
17,53,98,x
14,21,26,x
60,97,42,y
81,93,56,y
96,99,22,x
25,79,62,z
41,68,12,y
10,19,26,z
54,66,62,y
62,20,1,y
13,3,35,y
39,6,63,z
93,8,52,y
64,25,87,z
88,98,97,x
47,77,84,x
63,4,81,y
65,74,11,x
88,82,44,x
51,3,87,y
13,52,16,z
70,93,1,x
10,58,5,x
34,29,32,z
72,98,79,x
49,15,89,z
81,11,3,z
57,7,88,x
19,66,49,x
79,56,31,z
98,47,4,y
60,51,82,y
14,98,88,x
14,39,35,z
56,55,6,z
56,96,98,x
37,76,98,z
91,72,71,x
56,93,5,x
48,27,9,y
33,56,32,y
64,45,19,z
2,74,93,x
60,56,93,z
58,32,36,x
51,49,49,y
31,75,85,z
89,20,85,y
55,99,48,z
75,24,31,x
39,56,43,x
62,47,82,z
68,1,99,y
65,19,94,z
95,11,43,z
28,75,25,x
66,62,65,x
53,52,42,x
72,7,99,x
48,48,46,z
47,14,59,z
70,96,42,x
6,84,63,y
85,45,79,z
24,6,96,z
64,45,4,x
51,94,59,x
45,47,68,x
31,70,30,x
12,49,12,z
25,91,84,z
70,70,59,z
91,80,8,x
36,23,39,y
71,14,97,x
73,18,6,z
29,89,71,y
86,40,14,y
6,95,29,x
43,88,72,x
62,66,55,z
20,21,41,y
49,56,98,y
82,46,8,y
32,58,86,z
8,74,11,x
83,60,34,z
58,26,53,x
70,64,23,x
23,15,2,z
79,70,55,x
63,30,74,x
47,23,32,y
19,26,79,y
8,31,86,y
88,61,48,z
91,38,42,x
95,73,36,z
93,68,73,y
95,21,9,x
39,53,29,x
34,75,55,x
57,5,23,z
10,83,24,y
80,66,44,x
42,31,80,y
81,59,33,z
75,17,63,z
57,92,82,z
85,93,16,z
10,24,31,z
89,49,94,z
31,31,6,x
36,32,62,z
42,53,81,z
30,73,32,y
71,87,91,x
35,58,50,z
97,77,84,y
83,58,23,y
13,60,57,z
18,56,42,z
16,61,39,z
47,8,23,z
57,33,9,x
50,29,4,y
3,15,74,y
71,22,11,x
96,37,46,y
78,96,22,z
20,88,81,x
77,71,18,x
51,59,33,y
23,25,69,x
53,58,42,y
12,39,41,y
40,40,35,z
61,31,45,x
68,5,49,y
92,55,42,z
86,44,84,z
80,64,94,y
11,3,17,z
98,95,44,z
35,65,34,y
2,73,54,y
85,67,22,z
13,56,73,y
67,49,6,z
65,52,73,y
32,10,74,x
65,88,88,z
33,83,57,x
73,59,74,x
28,99,61,y
23,70,73,x
88,55,28,y
32,72,7,x
85,77,67,z
57,99,29,x
94,51,75,y
98,73,34,x
83,78,43,y
42,37,45,z
22,16,85,x
73,66,44,z
36,55,47,z
48,22,40,z
53,4,82,z
49,97,51,z
25,59,2,x
59,76,84,y
74,62,54,z
10,77,49,z
10,57,26,x
87,93,28,y
55,83,47,z
93,69,69,x
99,62,15,y
6,34,75,z
55,16,21,z
26,39,37,y
71,13,60,z
27,63,48,y
67,91,67,z
7,96,12,x
87,87,78,z
99,38,64,x
64,96,52,y
53,77,19,x
9,4,66,x
91,94,34,y
4,7,98,x
95,78,84,z
69,35,96,y
33,98,10,x
35,91,19,y
78,8,31,x
18,66,20,x
18,88,68,x
89,60,37,y
26,21,3,z
64,90,73,x
13,41,83,x
98,96,50,z
81,53,51,z
70,37,55,z
51,8,13,y
47,55,25,x
45,79,78,y
55,50,59,y
39,43,41,y
22,67,96,x
41,70,27,x
25,32,51,x
16,52,35,y
60,20,86,y
98,48,3,y
25,23,66,y
57,70,48,y
31,20,29,z
82,51,78,z
35,55,68,z
67,44,8,y
4,27,72,y
86,2,18,x
20,40,77,x
18,58,14,y
73,96,44,z
81,51,92,y
10,78,50,y
26,7,21,x
98,19,9,x
74,92,90,z
44,91,44,y
56,58,64,x
25,25,86,x
62,73,37,z
90,74,72,y
34,92,79,x
88,4,2,y
55,27,9,y
28,42,35,y
11,27,61,z
67,68,25,x
35,5,78,x
52,13,37,x
2,51,12,x
1,66,66,z
12,20,38,x
55,77,60,y
27,63,43,z
43,93,47,y
30,79,84,z
85,49,86,x
6,28,93,x
95,43,96,z
78,66,86,x
33,57,89,x
61,40,13,y
73,46,73,y
72,30,98,y
73,60,46,x
10,83,69,z
14,24,48,x
9,71,73,x
29,6,48,x
93,68,84,y
13,28,15,z
70,47,79,x
41,2,71,y
88,74,51,x
99,70,83,z
93,30,89,x
26,40,39,y
94,10,62,y
65,24,1,y
97,85,94,z
9,68,6,x
27,56,10,y
10,73,54,y
49,93,57,y
32,17,1,y
11,5,94,y
5,22,32,x
40,83,3,y
64,40,20,z
16,2,87,y
54,26,68,x
77,12,67,x
91,62,1,z
71,48,58,z
18,60,16,y
66,11,82,y
55,6,16,y
13,33,6,z
91,60,26,x
99,73,5,z
49,91,33,x
3,38,5,z
30,50,65,x
65,59,69,y
18,6,55,x
92,38,32,x
71,40,20,y
90,10,22,x
19,44,5,z
4,54,45,z
35,88,87,x
75,34,63,y
56,9,63,z
5,81,33,z
19,72,5,z
39,22,2,y
65,6,55,y
30,61,19,x
23,2,99,x
95,69,63,x
39,62,73,y
72,40,64,x
74,56,33,x
86,25,18,z
40,18,17,x
85,39,4,x
19,67,21,z
57,14,38,x
27,67,7,z
55,29,54,y
93,15,76,y
6,60,55,y
8,41,11,x
53,24,85,x
45,76,19,z
1,81,63,z
27,37,65,z
85,12,22,z
85,65,38,x
80,99,96,z
62,18,72,x
86,94,1,y
68,68,98,y
96,5,73,x
5,2,57,y
55,33,34,y
94,56,41,y
95,94,34,z
39,49,73,y
8,83,35,x
89,44,12,y
51,47,14,z
37,4,7,y
96,92,19,z
31,57,88,y
60,75,35,y
74,7,17,y
23,31,94,x
97,6,51,y
29,5,98,y
50,1,72,z
74,67,31,z
14,63,89,x
47,21,11,z
21,41,63,z
49,87,12,x
41,97,88,y
98,74,66,y
92,73,32,z
87,26,14,x
71,83,8,y
31,39,94,x
91,73,49,y
8,69,97,z
31,85,79,z
42,64,3,x
36,46,32,y
91,17,90,x
23,42,24,z
45,36,15,x
47,79,47,x
39,77,47,x
7,40,77,y
94,73,10,z
70,87,32,y
70,30,15,x
40,26,33,y
18,73,77,x
97,25,60,z
11,11,52,x
71,59,50,y
1,13,95,x
91,40,51,z
40,54,17,x
81,85,81,y
13,73,75,z
71,50,92,z
45,31,3,x
54,2,93,x
26,14,53,z
59,8,45,y
96,32,82,x
50,75,4,x
58,34,85,x
62,81,75,z
76,20,22,x
45,97,39,x
95,94,30,x
78,33,21,x
7,16,24,z
75,5,99,y
64,12,44,x
52,43,93,x
11,4,21,z
92,2,13,y
99,64,24,x
91,85,93,y
53,72,30,y
5,47,37,z
27,79,2,z
31,56,71,z
84,87,43,y
54,12,24,y
28,57,85,y
43,12,82,x
80,45,71,z
41,96,99,z
18,38,75,z
30,60,51,x
36,69,35,y
39,34,96,x
79,78,38,y
50,45,71,x
57,78,58,x
31,41,29,y
15,27,72,z
43,13,29,z
42,90,34,x
40,17,24,z
87,18,40,y
26,87,8,x
86,33,49,z
81,7,93,x
14,26,92,y
76,67,42,y
87,30,28,z
29,70,74,z
16,58,6,y
40,50,22,x
89,54,51,y
82,15,89,x
57,33,98,y
15,43,58,y
92,73,60,y
34,67,90,z
78,98,90,z
30,38,43,x
67,93,57,y
39,72,40,y
51,18,27,y
38,75,34,z
29,35,34,y
50,79,63,y
19,66,83,z
77,46,70,z
74,16,75,z
82,29,20,z
17,97,22,x
73,87,32,x
28,77,58,z
86,89,40,x
42,85,2,y
12,46,10,y
36,57,76,z
16,17,16,x
30,38,3,z
6,69,24,z
42,26,84,x
91,32,86,x
66,88,29,x
55,84,77,x
62,18,71,y
23,65,59,z
23,24,64,z
32,74,53,y
5,4,14,z
99,2,87,z
56,60,90,x
46,51,74,y
4,17,57,z
20,57,78,x
27,47,87,y
98,68,63,y
17,91,13,z
1,91,55,x
22,84,77,y
65,81,20,x
11,32,24,y
69,14,69,y
88,91,27,x
64,92,5,z
66,47,90,y
16,37,6,x
26,20,63,z
81,39,24,x
3,53,99,y
39,23,29,x
99,24,98,z
69,92,55,x
55,99,18,z
98,16,83,z
61,24,94,y
68,90,32,y
60,54,60,y
21,71,95,z
52,57,64,y
66,41,99,x
64,57,2,z
66,65,26,y
31,38,82,y
16,64,71,z
59,3,6,y
65,63,5,x
77,6,40,y
78,9,25,z
48,72,41,y
82,8,3,x
42,44,9,z
93,53,27,y
7,72,55,z
84,27,83,z
21,32,95,y
56,85,61,z
86,42,17,y
98,68,85,y
37,17,29,x
89,12,26,x
18,98,33,z
19,39,95,z
53,28,71,y
54,90,80,x
31,87,62,x
35,59,64,y
76,63,79,x
82,38,3,y
33,28,34,x
12,70,41,x
2,43,96,y
42,21,9,x
44,14,21,y
38,25,26,y
93,97,42,z
20,73,83,z
48,74,80,x
17,65,2,x
4,51,5,x
91,6,22,z
24,52,7,y
29,5,40,y
85,2,75,y
30,43,49,y
74,58,96,y
82,89,11,z
71,23,10,y
58,77,49,x
93,18,35,x
60,34,54,y
5,70,5,y
54,34,50,x
3,9,65,y
77,46,99,x
94,78,22,z
98,41,95,y
43,83,5,y
17,65,54,y
58,93,63,z
30,70,31,y
15,14,16,z
18,30,57,y
85,7,72,z
60,90,10,x
51,7,72,y
28,74,83,y
61,27,61,z
13,87,22,y
51,57,13,z
72,7,74,y
60,13,24,z
83,63,10,z
6,70,22,y
11,24,84,z
71,47,98,x
29,6,3,x
12,41,98,y
73,85,89,x
32,69,91,y
48,43,99,x
82,41,53,z
2,29,33,z
66,25,5,x
21,86,43,x
46,96,37,y
11,98,82,z
43,83,26,x
88,7,15,y
10,54,66,z
60,59,13,x
4,45,6,y
97,65,9,z
3,70,89,z
69,70,42,z
23,55,39,z
44,32,51,y
91,98,61,y
78,93,50,x
48,31,68,z
12,59,58,y
51,51,92,z
86,34,56,x
13,38,65,z
10,58,75,z
94,13,39,x
28,62,63,x
69,28,80,y
24,49,18,y
31,23,21,x
23,70,52,x
81,67,66,z
73,38,11,z
16,69,67,z
49,93,53,x
19,78,10,x
54,22,51,y
24,89,48,x
87,84,52,x
95,92,27,y
23,79,13,x
67,74,21,x
29,4,81,z
99,98,95,z
48,7,27,x
55,4,53,x
39,3,76,x
18,62,64,z
14,11,78,y
5,29,25,y
23,28,7,x
88,53,85,z
28,17,62,x
83,2,51,y
90,31,27,x
43,97,73,z
31,70,87,y
30,9,21,x
6,79,94,x
32,50,7,z
15,82,4,x
39,22,40,z
65,28,36,x
3,78,77,z
35,96,19,x
69,22,64,y
62,36,21,x
89,56,93,x
47,35,25,z
55,68,19,z
71,60,28,z
14,66,53,y
29,30,53,y
33,51,97,z
58,92,90,z
78,25,14,z
21,9,26,z
47,94,14,y
36,88,96,z
50,83,85,y
54,25,2,y
61,89,30,z
49,43,16,x
32,63,52,y
56,49,87,x
75,12,97,y
92,60,32,y
17,41,95,y
51,74,95,y
40,93,44,y
58,55,64,y
42,43,84,z
77,34,18,x
18,33,93,z
55,85,25,z
59,17,21,x
36,2,7,z
22,51,90,z
35,23,35,x
57,32,59,z
9,88,29,y
69,93,80,y
92,53,43,y
16,79,74,z
17,96,19,x
37,23,73,x
8,88,31,z
99,47,30,x
28,89,32,x
22,9,55,z
43,29,36,y
37,6,82,y
13,35,30,x
86,39,30,y
81,74,8,z
33,56,57,z
13,12,37,x
80,69,93,x
16,87,50,z
77,32,27,y
58,25,38,z
45,98,59,z
89,37,90,z
44,19,63,y
66,47,34,x
80,81,17,x
30,37,97,y
97,28,39,z
73,47,75,z
53,46,93,y
51,67,33,y
35,52,29,x
36,11,11,z
9,74,83,z
69,66,55,x
98,14,60,x
16,33,32,x
22,87,74,x
81,66,4,z
86,35,67,y
66,37,7,z
43,16,60,x
72,74,38,y
95,78,84,x
99,53,31,y
36,32,15,x
41,48,61,x
33,50,80,y
98,45,50,z
49,8,48,y
82,17,99,y
56,33,40,x
58,82,68,y
8,65,98,x
43,66,77,x
49,66,23,y
15,18,25,x
44,40,38,y
66,54,56,x
64,23,70,y
17,22,76,x
93,36,69,z
34,58,55,y
51,11,10,z
78,1,46,x
43,7,11,x
54,33,83,y
30,73,60,z
80,75,13,x
39,3,47,y
40,19,14,z
5,86,93,z
12,46,64,x
19,40,56,z
41,45,58,z
73,19,38,z
98,70,68,x
45,33,51,x
35,36,6,y
1,11,33,x
9,62,82,x
99,19,12,y
8,66,3,z
56,71,65,x
58,93,27,y
73,14,18,y
71,97,36,x
6,4,31,y
93,89,45,z
38,60,17,z
44,88,2,x
53,96,82,y
56,3,51,x
41,60,91,x
66,18,22,z
93,15,94,z
91,16,71,x
53,51,49,y
78,91,49,y
82,94,71,z
84,98,22,x
18,73,81,x
61,44,74,x
65,52,14,z
81,93,23,z
87,92,70,y
54,76,78,z
49,86,35,y
94,58,74,y
91,91,89,x
95,13,46,y
87,70,18,z
28,88,48,z
9,33,84,z
87,78,47,y
74,29,83,y
37,10,76,z
49,74,25,x
21,64,23,y
17,87,12,z
71,82,39,z
2,55,60,x
65,87,76,z
91,51,60,y
42,86,80,x
40,36,40,y
73,57,79,x
73,28,64,z
69,16,58,x
7,39,64,y
57,16,10,y
40,14,75,x
23,58,2,z
41,57,98,y
72,77,62,y
41,70,14,z
99,1,85,z
79,23,65,z
18,51,39,y
61,48,7,x
50,81,80,y
97,98,57,z
12,96,34,y
84,27,31,x
83,45,65,z
28,48,53,z
75,8,14,z
98,59,91,x
64,85,30,y
70,40,72,y
76,15,64,x
58,63,6,x
88,61,15,z
36,50,83,z
84,71,11,y
27,29,54,x
15,61,31,y
8,73,70,x
42,46,43,y
31,34,55,x
39,90,49,x
84,81,45,y
8,43,51,y
22,42,95,z
52,8,63,y
11,46,90,x
62,50,7,y
16,34,30,y
64,13,49,z
60,97,56,y
36,63,19,z
43,47,44,x
44,38,16,z
64,87,22,y
83,88,71,y
14,34,48,y
64,14,8,x
74,75,57,y
41,41,64,x
83,36,21,y
58,84,86,y
74,93,51,x
82,24,62,y
46,99,55,y
39,89,5,x
38,61,45,z
5,5,94,y
40,31,87,y
51,65,76,y
35,77,17,z
67,58,90,y
28,43,59,z
22,24,64,z
60,90,12,y
47,57,88,z
18,2,32,y
62,56,60,z
9,78,8,x
27,72,52,y
69,98,15,y
83,59,44,z
29,38,67,x
78,61,81,y
1,14,97,z
10,90,60,z
4,16,66,z
45,24,53,z
2,9,22,y
81,37,88,y
41,69,82,x
29,56,80,x
73,34,80,x
69,18,41,z
23,62,95,y
8,32,47,y
7,94,1,x
7,25,5,x
27,15,7,z
74,59,83,x
81,57,27,y
93,72,41,z
91,13,51,x
88,40,46,x
45,58,34,y
17,77,80,z
26,14,59,z
44,17,96,z
58,50,18,y
99,27,59,y
85,13,36,z
56,4,63,x
12,53,71,z
61,93,29,x
8,34,44,x
55,16,35,y
59,13,90,z
52,59,27,x
48,28,71,z
61,29,18,x
63,93,53,x
49,29,23,x
2,56,32,z
58,42,50,z
76,2,86,x
29,42,30,z
35,46,21,y
55,97,47,y
46,7,98,x
26,56,48,z
64,71,90,y
95,7,34,y
26,4,18,x
7,8,97,y
14,42,92,z
31,58,35,z
9,14,50,z
69,27,30,z
13,81,48,z
15,24,53,y
85,71,36,z
26,73,74,y
62,65,77,y
16,25,53,x
39,36,85,x
36,29,15,z
97,82,66,z
94,41,33,z
79,20,52,z
88,26,37,y
44,52,65,z
36,4,9,z
59,47,97,z
74,30,90,x
81,30,21,z
76,53,55,x
74,44,18,y
28,22,2,z
77,73,9,x
98,88,88,z
33,28,27,x
11,3,15,x
69,12,47,y
61,96,88,z
43,31,33,y
35,71,62,x
94,89,54,x
15,46,84,y
32,74,29,y
7,81,55,y
42,32,37,z
39,65,96,x
56,51,72,z
20,31,26,z
29,69,64,x
99,67,48,x
57,3,28,z
9,12,61,x
68,98,87,z
97,13,48,y
99,94,81,x
9,79,39,y
58,89,74,y
8,1,85,x
94,78,15,y
15,23,82,y
37,65,51,x
19,29,59,z
85,29,81,y
82,62,14,x
95,12,73,x
81,76,33,y
87,95,87,y
11,64,88,x
81,7,95,x
88,58,57,z
27,8,82,x
24,58,25,x
6,72,85,x
88,13,38,z
35,27,66,z
68,91,14,z
30,42,90,z
37,25,70,x
75,35,20,x
7,24,94,y
14,89,45,x
97,60,26,z
10,33,59,x
60,30,37,x
40,63,19,x
97,78,61,z
57,99,63,z
74,21,22,y
84,91,18,z
11,7,80,x
22,71,57,z
61,27,13,z
40,66,9,x
65,9,6,y
13,62,74,z
49,37,36,y
22,41,54,y
80,11,56,y
21,52,56,x
66,64,5,z
22,32,42,y
12,70,25,y
18,93,8,z
24,26,76,x
64,16,64,y
28,62,71,z
36,10,31,y
74,20,4,z
98,66,66,z
85,81,93,y
17,16,58,x
52,38,7,z
23,30,96,z
28,36,87,y
15,15,45,x
14,72,27,x
41,63,42,z
89,32,62,z
77,84,62,x
60,13,31,z
92,19,58,y
90,70,42,z
77,21,8,y
28,52,50,z
85,3,50,x
15,71,45,x
43,12,34,y
99,58,44,x
68,84,59,x
29,78,86,y
49,91,91,y
22,18,9,x
93,31,20,z
79,30,55,z
50,15,86,y
21,27,91,z
22,52,8,z
78,21,80,z
90,32,76,x
92,71,87,y
32,13,96,x
78,70,8,y
14,79,61,y
30,51,81,y
72,8,65,x
56,59,79,x
86,49,28,y
83,24,8,z
13,36,19,z
99,49,97,y
48,41,37,y
77,82,46,x
56,49,53,y
66,70,92,y
23,84,12,y
58,1,39,x
52,98,49,x
10,57,64,y
68,21,39,y
57,17,69,y
23,41,28,y
5,70,66,y
68,84,56,z
71,64,89,z
76,78,75,y
69,65,5,x
16,47,77,x
57,45,31,y
62,88,67,y
17,80,77,y
34,77,94,y
22,67,79,y
76,67,94,y
3,61,87,z
63,36,73,y
55,38,48,z
54,25,95,x
1,1,66,x
34,15,78,z
91,72,12,y
74,17,26,y
6,54,10,z
99,16,62,z
2,78,17,x
90,66,58,y
40,55,17,z
75,68,46,z
12,38,44,z
44,98,5,x
11,70,26,x
18,65,40,y
1,99,93,z
92,14,61,z
47,3,59,x
72,11,17,y
94,35,74,z
68,49,23,x
86,42,85,y
73,61,3,y
12,4,48,y
93,15,69,x
5,88,35,y
80,15,60,z
26,47,76,z
60,48,58,x
79,73,60,y
95,30,34,y
8,62,63,y
57,25,80,x
19,72,35,z
73,50,97,x
52,29,28,x
4,79,6,z
81,15,77,y
85,56,37,x
39,96,1,x
2,10,4,x
24,27,5,y
92,12,87,z
6,33,41,x
86,96,22,y
90,4,39,x
89,32,78,z
4,6,91,y
64,27,20,z
14,24,66,y
17,67,6,y
16,67,74,y
62,32,1,x
83,90,76,z
58,60,54,z
88,51,99,x
23,13,98,x
22,30,17,y
11,47,90,z
21,41,75,x
63,92,22,x
9,50,68,z
70,85,7,z
36,1,39,z
53,5,64,z
33,61,68,y
54,32,83,z
89,49,54,y
35,51,23,y
10,18,49,y
2,31,9,z
77,17,76,z
54,20,29,x
9,69,47,y
17,3,89,x
50,1,18,y
40,84,24,z
34,13,96,z
67,80,60,x
29,2,12,y
3,51,99,y
81,57,80,y
86,67,15,z
20,73,18,x
23,24,91,x
70,40,40,y
97,86,26,x
80,39,1,x
99,53,77,x
60,81,34,y
58,37,18,z
81,78,13,z
99,37,5,y
26,65,16,y
20,33,18,y
49,52,17,y
10,76,95,x
84,78,39,z
60,84,44,x
17,3,37,y
86,70,67,x
10,16,27,x
19,90,96,z
51,10,67,z
71,18,28,z
5,1,49,x
46,11,12,z
32,24,13,z
38,91,53,z
52,63,28,y
57,60,68,y
44,50,21,z
91,83,48,z
95,52,37,z
98,70,94,x
93,76,56,z
36,42,11,x
84,24,12,z
96,44,31,z
67,54,38,z
7,88,93,z
18,44,74,z
47,96,98,x
51,11,76,z
87,26,69,x
10,10,44,z
40,61,7,y
77,43,11,z
14,68,72,x
89,51,25,x
41,95,93,z
86,97,34,x
74,11,19,z
88,79,81,z
27,81,47,z
45,62,85,z
14,30,32,x
89,44,50,x
16,76,60,z
56,65,75,y
50,97,80,x
70,91,57,z
16,79,94,z
30,60,96,y
54,9,94,y
52,80,87,y
66,13,63,y
48,6,53,y
30,35,42,x
52,48,54,z
21,72,28,y
1,96,73,x
26,77,4,x
43,26,59,z
4,91,40,y
81,40,19,z
8,3,47,y
3,80,81,z
59,76,10,x
7,70,48,y
53,66,94,y
39,76,4,y
27,77,73,x
83,23,56,z
18,29,87,y
62,2,28,y
5,94,69,y
17,57,27,x
50,78,83,x
59,44,98,y
75,33,87,x
90,49,68,y
21,60,3,z
61,75,94,x
54,59,62,z
52,79,59,z
99,36,85,x
98,21,53,z
93,93,62,y
82,78,55,y
97,71,13,z
28,58,72,z
91,1,46,x
76,92,16,z
85,21,46,y
65,48,68,z
61,48,94,z
80,70,87,y
8,67,29,y
43,7,41,y
78,90,35,z
17,54,83,x
66,9,67,x
77,12,88,z
22,14,79,x
23,82,91,x
32,21,31,y
74,71,81,x
18,78,47,x
45,50,91,y
78,18,11,z
36,45,2,x
24,92,43,z
34,58,70,z
73,27,44,y
53,6,33,x
62,85,43,z
13,76,3,z
15,44,82,x
90,43,30,y
87,64,20,z
14,21,16,x
29,18,17,x
80,54,47,y
43,21,45,x
17,81,85,y
83,2,78,x
65,32,44,y
71,48,22,x
36,67,12,y
95,16,82,y
9,49,22,y
47,54,60,z
20,75,61,z
19,84,82,z
6,76,92,x
29,77,6,y
38,34,83,y
35,51,22,y
18,90,61,z
53,3,90,z
9,60,94,z
49,65,11,y
76,89,50,x
58,64,89,y
5,69,65,x
69,54,64,y
76,3,5,x
95,47,51,x
48,32,84,y
81,51,32,z
90,2,99,x
61,81,67,z
61,28,58,x
39,34,50,y
5,1,99,y
30,45,64,x
58,29,5,y
33,27,43,z
94,99,27,y
37,46,79,z
34,61,74,x
68,87,60,z
48,32,47,z
81,49,54,x
83,35,93,x
19,31,98,x
33,29,27,y
5,36,74,z
63,71,94,y
26,24,40,x
8,91,80,y
49,2,95,z
24,45,8,y
86,9,68,z
26,30,27,x
90,21,65,x
47,49,35,y
85,92,62,x
28,63,64,x
14,73,82,y
47,71,30,x
16,75,64,z
20,57,51,z
74,66,98,x
74,93,83,y
30,7,16,x
26,64,78,y
72,84,1,z
35,53,49,x
32,99,81,y
92,29,56,z
98,92,71,y
67,16,46,x
23,14,20,x
6,24,50,x
87,22,63,y
24,24,8,y
67,39,61,z
91,42,44,y
9,53,9,x
39,20,71,y
49,80,57,z
60,37,36,x
25,94,65,z
29,10,66,y
76,58,64,y
61,48,80,x
2,87,71,x
30,48,56,x
28,70,32,x
38,32,56,z
63,42,4,x
50,86,80,y
81,38,93,y
41,77,92,x
70,43,4,y
90,53,18,y
41,21,31,x
63,61,79,y
38,13,77,x
27,23,66,y
27,88,82,z
67,31,4,x
70,50,33,y
82,4,90,x
1,51,85,y
41,53,57,x
28,49,42,x
8,43,53,x
92,83,81,x
80,87,30,z
84,10,62,x
58,42,17,x
67,24,1,y
99,69,17,y
28,38,91,x
38,17,2,y
92,31,76,y
30,85,79,y
67,95,8,z
61,2,32,y
58,3,20,z
89,65,90,z
92,12,29,z
10,69,18,z
28,15,89,x
20,55,46,x
64,94,98,z
5,40,53,z
79,49,1,z
